season,race,site,track,track_length,track_type,laps,driver_finish_1,driver_finish_2,driver_finish_3,driver_finish_4,driver_finish_5,manufacturer_finish_1,manufacturer_finish_2,manufacturer_finish_3,manufacturer_finish_4,manufacturer_finish_5,miles_completed,shortened,Pontiac_top5_count,Toyota_top5_count,Ford_top5_count,Chevrolet_top5_count,Dodge_top5_count,Oldsmobile_top5_count,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco,date
1992,1,Daytona,Daytona International Speedway,2.5,paved track,200,Davey Allison,Morgan Shepherd,Geoffrey Bodine,Alan Kulwicki,Dick Trickle,Ford,Ford,Ford,Ford,Oldsmobile,500.0,False,0,0,4,0,0,1,24.4,15.6,58.0,0.0,,270.0,18.4,,1017.7,,No Rain,1992-2-16
1992,3,Richmond,Richmond International Raceway,0.75,paved track,400,Bill Elliott,Alan Kulwicki,Harry Gant,Davey Allison,Darrell Waltrip,Ford,Ford,Oldsmobile,Ford,Chevrolet,300.0,False,0,0,3,1,0,1,13.3,10.7,84.0,0.0,,240.0,0.0,,1008.5,,No Rain,1992-3-8
1992,4,Atlanta,Atlanta Motor Speedway,1.522,paved track,328,Bill Elliott,Harry Gant,Dale Earnhardt,Davey Allison,Dick Trickle,Ford,Oldsmobile,Chevrolet,Ford,Ford,499.216,False,0,0,3,1,0,1,15.0,-2.9,29.0,0.0,,320.0,22.3,,1013.9,,No Rain,1992-3-15
1992,6,Bristol,Bristol International Speedway,0.533,paved track,500,Alan Kulwicki,Dale Jarrett,Ken Schrader,Terry Labonte,Dick Trickle,Ford,Chevrolet,Chevrolet,Oldsmobile,Ford,266.5,False,0,0,2,2,0,1,5.6,-1.1,62.0,0.0,,320.0,27.7,,1009.4,,No Rain,1992-4-5
1992,8,Martinsville,Martinsville Speedway,0.526,paved track,500,Mark Martin,Sterling Marlin,Darrell Waltrip,Terry Labonte,Harry Gant,Ford,Ford,Chevrolet,Oldsmobile,Oldsmobile,263.0,False,0,0,2,1,0,2,13.9,0.2,39.0,0.0,,330.0,29.5,,1008.5,,No Rain,1992-4-26
1992,9,Talladega,Talladega Superspeedway,2.66,paved track,188,Davey Allison,Bill Elliott,Dale Earnhardt,Sterling Marlin,Ernie Irvan,Ford,Ford,Chevrolet,Ford,Chevrolet,500.08,False,0,0,3,2,0,0,26.7,13.4,44.0,0.0,,220.0,18.7,,1017.3,,No Rain,1992-5-3
1992,10,Charlotte,Charlotte Motor Speedway,1.5,paved track,400,Dale Earnhardt,Ernie Irvan,Kyle Petty,Davey Allison,Harry Gant,Chevrolet,Chevrolet,Pontiac,Ford,Oldsmobile,600.0,False,1,0,1,2,0,1,29.4,5.5,22.0,0.0,,90.0,5.4,,1013.9,,No Rain,1992-5-24
1992,11,Dover,Dover Downs International Speedway,1.0,paved track,500,Harry Gant,Dale Earnhardt,Rusty Wallace,Ernie Irvan,Darrell Waltrip,Oldsmobile,Chevrolet,Pontiac,Chevrolet,Chevrolet,500.0,False,1,0,0,3,0,1,16.1,16.1,100.0,1.0,,130.0,18.7,,1021.7,,Light Rain,1992-5-31
1992,12,Sonoma,Sears Point International Raceway,2.52,road course,74,Ernie Irvan,Terry Labonte,Mark Martin,Ricky Rudd,Bill Elliott,Chevrolet,Oldsmobile,Ford,Chevrolet,Ford,186.48,False,0,0,2,2,0,1,18.3,12.3,68.0,0.0,,250.0,24.1,,1008.3,,No Rain,1992-6-7
1992,13,Pocono,Pocono International Raceway,2.5,paved track,200,Alan Kulwicki,Mark Martin,Bill Elliott,Ken Schrader,Davey Allison,Ford,Ford,Ford,Chevrolet,Ford,500.0,False,0,0,4,1,0,0,25.0,10.5,40.0,0.0,,190.0,27.7,,1012.1,,No Rain,1992-6-14
1992,14,Michigan,Michigan International Speedway,2.0,paved track,200,Davey Allison,Darrell Waltrip,Alan Kulwicki,Kyle Petty,Ricky Rudd,Ford,Chevrolet,Ford,Pontiac,Chevrolet,400.0,False,1,0,2,2,0,0,11.7,6.2,69.0,0.0,,360.0,9.4,,1016.2,,No Rain,1992-6-21
1992,15,Daytona,Daytona International Speedway,2.5,paved track,160,Ernie Irvan,Sterling Marlin,Dale Jarrett,Geoffrey Bodine,Bill Elliott,Chevrolet,Ford,Chevrolet,Ford,Ford,400.0,False,0,0,3,2,0,0,32.7,18.9,44.0,0.0,,300.0,9.0,,1016.9,,No Rain,1992-7-4
1992,16,Pocono,Pocono International Raceway,2.5,paved track,200,Darrell Waltrip,Harry Gant,Alan Kulwicki,Ricky Rudd,Ted Musgrave,Chevrolet,Oldsmobile,Ford,Chevrolet,Ford,500.0,False,0,0,2,2,0,1,25.6,16.7,58.0,0.0,,240.0,13.0,,1015.7,,No Rain,1992-7-19
1992,17,Talladega,Talladega Superspeedway,2.66,paved track,188,Ernie Irvan,Sterling Marlin,Davey Allison,Ricky Rudd,Bill Elliott,Chevrolet,Ford,Ford,Chevrolet,Ford,500.08,False,0,0,3,2,0,0,30.0,21.7,61.0,0.0,,240.0,16.6,,1018.5,,No Rain,1992-7-26
1992,19,Michigan,Michigan International Speedway,2.0,paved track,200,Harry Gant,Darrell Waltrip,Bill Elliott,Ernie Irvan,Davey Allison,Oldsmobile,Chevrolet,Ford,Chevrolet,Ford,400.0,False,0,0,2,2,0,1,17.8,12.3,70.0,0.0,,30.0,14.8,,1022.1,,No Rain,1992-8-16
1992,20,Bristol,Bristol International Speedway,0.533,paved track,500,Darrell Waltrip,Dale Earnhardt,Ken Schrader,Kyle Petty,Alan Kulwicki,Chevrolet,Chevrolet,Chevrolet,Pontiac,Ford,266.5,False,1,0,1,3,0,0,19.4,12.2,63.0,0.0,,290.0,20.5,,1012.9,,No Rain,1992-8-29
1992,22,Richmond,Richmond International Raceway,0.75,paved track,400,Rusty Wallace,Mark Martin,Darrell Waltrip,Dale Earnhardt,Geoffrey Bodine,Pontiac,Ford,Chevrolet,Chevrolet,Ford,300.0,False,1,0,2,2,0,0,18.9,11.2,61.0,0.0,,330.0,7.6,,1020.5,,No Rain,1992-9-12
1992,23,Dover,Dover Downs International Speedway,1.0,paved track,500,Ricky Rudd,Bill Elliott,Kyle Petty,Davey Allison,Morgan Shepherd,Chevrolet,Ford,Pontiac,Ford,Ford,500.0,False,1,0,3,1,0,0,20.0,11.7,59.0,0.0,,40.0,7.6,,1016.0,,No Rain,1992-9-20
1992,24,Martinsville,Martinsville Speedway,0.526,paved track,500,Geoffrey Bodine,Rusty Wallace,Brett Bodine,Kyle Petty,Alan Kulwicki,Ford,Pontiac,Ford,Pontiac,Ford,263.0,False,2,0,3,0,0,0,20.6,19.9,96.0,0.0,,30.0,7.6,,1018.7,,No Rain,1992-9-28
1992,26,Charlotte,Charlotte Motor Speedway,1.5,paved track,334,Mark Martin,Alan Kulwicki,Kyle Petty,Jimmy Spencer,Ricky Rudd,Ford,Ford,Pontiac,Ford,Chevrolet,501.0,False,1,0,3,1,0,0,18.3,8.3,52.0,0.0,,220.0,9.4,,1015.9,,No Rain,1992-10-11
