dirt track,paved track,road course,temp,dwpt,rhum,prcp,wspd,miles_completed,Chevrolet_fieldcount,Ford_fieldcount,Toyota_fieldcount,top5_count,manufacturer
0,1,0,11.7,-1.8,39.0,0.0,11.2,505.0,19,10,4,0,Toyota
0,1,0,18.3,-6.5,18.0,0.0,14.8,300.0,21,8,4,0,Toyota
0,1,0,26.0,-12.5,7.0,0.0,22.3,501.32200000000006,20,9,4,0,Toyota
0,1,0,8.9,-8.2,29.0,0.0,13.0,600.0,19,9,5,1,Toyota
0,1,0,20.0,10.1,53.0,0.0,11.2,400.0,19,9,5,0,Toyota
0,1,0,17.0,12.9,77.0,0.0,0.0,265.0,20,9,4,0,Toyota
0,1,0,11.7,1.6,50.0,0.0,22.3,400.0,19,9,5,0,Toyota
0,0,1,23.0,-5.0,15.0,0.0,16.6,218.9,18,10,6,0,Toyota
0,1,0,23.9,9.8,41.0,0.0,16.6,317.40000000000003,20,9,3,0,Toyota
0,1,0,12.2,10.6,90.0,0.0,0.0,400.0,20,9,4,0,Toyota
0,1,0,19.0,18.0,94.0,2.3,13.0,400.5,20,9,4,0,Toyota
0,1,0,28.0,12.0,37.0,0.0,7.6,500.0,19,9,4,0,Toyota
0,1,0,18.3,17.1,93.0,1.5,16.6,400.0,19,9,4,0,Toyota
0,1,0,20.0,10.7,55.0,0.0,14.8,500.0,18,9,6,0,Toyota
0,0,1,27.2,19.0,61.0,0.0,0.0,220.50000000000003,18,9,6,0,Toyota
0,1,0,28.9,6.3,24.0,0.0,25.9,406.0,18,9,4,0,Toyota
0,1,0,20.0,5.6,39.0,0.0,9.4,266.5,18,9,5,0,Toyota
0,1,0,24.0,22.1,89.0,5.8,14.8,500.0,18,9,6,0,Toyota
0,1,0,27.8,11.8,37.0,0.0,31.7,300.0,18,9,5,0,Toyota
0,1,0,27.8,18.8,58.0,0.0,11.2,317.40000000000003,19,9,4,0,Toyota
0,1,0,23.9,13.4,52.0,0.0,5.4,400.0,18,9,5,0,Toyota
0,1,0,21.7,15.1,66.0,0.0,5.4,315.0,18,9,5,0,Toyota
0,1,0,16.7,15.6,93.0,0.3,16.6,400.5,22,9,2,0,Toyota
0,1,0,28.9,19.5,57.0,0.0,5.4,500.08,18,9,6,1,Toyota
0,1,0,40.0,16.2,25.0,0.0,22.3,505.5,18,9,5,0,Toyota
0,1,0,27.8,23.8,79.0,0.0,18.4,266.156,18,9,5,0,Toyota
0,1,0,12.8,6.2,64.0,0.0,9.4,506.66,18,9,5,0,Toyota
0,1,0,23.0,21.1,89.0,0.0,0.0,501.0,18,9,6,0,Toyota
0,1,0,26.1,10.7,38.0,0.0,16.6,312.0,19,9,4,0,Toyota
0,1,0,26.1,19.0,65.0,0.0,7.6,400.5,18,9,5,0,Toyota
0,1,0,14.0,6.1,59.0,0.0,0.0,500.5,19,9,4,0,Toyota
0,1,0,12.0,6.9,71.0,0.0,0.0,268.632,18,9,5,0,Toyota
0,1,0,15.0,6.0,55.0,0.0,5.4,263.0,18,9,5,0,Toyota
0,1,0,18.3,8.8,54.0,0.0,5.4,501.0,20,9,3,0,Toyota
0,1,0,26.1,5.6,27.0,0.0,7.6,312.0,21,9,3,0,Toyota
0,1,0,20.4,16.4,78.0,0.0,7.6,510.72,21,9,3,0,Toyota
0,1,0,18.9,12.2,65.0,0.0,11.2,500.0,16,7,9,2,Toyota
0,1,0,13.9,8.3,69.0,0.0,11.2,307.5,15,7,10,2,Toyota
0,1,0,23.5,1.2,23.0,0.0,31.7,501.32200000000006,13,8,10,1,Toyota
0,1,0,4.4,-7.1,43.0,0.0,16.6,600.0,14,7,10,1,Toyota
0,1,0,12.2,11.1,93.0,2.5,9.4,400.0,14,8,10,1,Toyota
0,1,0,6.0,-3.9,49.0,0.0,0.0,500.0,14,8,9,2,Toyota
0,1,0,20.0,2.4,31.0,0.0,13.0,406.0,13,8,10,2,Toyota
0,0,1,27.0,-8.6,9.0,0.0,22.3,222.88,13,10,9,1,Toyota
0,1,0,22.8,17.3,71.0,0.0,5.4,300.47200000000004,14,7,10,2,Toyota
0,1,0,20.0,16.0,78.0,0.0,9.4,405.0,14,9,9,1,Toyota
0,1,0,27.0,14.1,45.0,0.0,16.6,400.5,14,8,10,2,Toyota
0,1,0,23.0,12.0,50.0,0.0,0.0,500.0,15,8,9,1,Toyota
0,1,0,20.0,18.8,93.0,0.0,13.0,400.0,14,8,10,1,Toyota
0,1,0,21.1,18.9,87.0,1.8,18.4,500.0,14,8,10,1,Toyota
0,0,1,24.4,10.7,42.0,0.0,9.4,220.50000000000003,14,8,10,2,Toyota
0,1,0,32.8,1.8,14.0,0.0,24.1,400.0,14,8,10,1,Toyota
0,1,0,15.6,14.5,93.0,1.3,11.2,266.5,15,8,10,2,Toyota
0,1,0,27.8,20.6,65.0,0.0,11.2,500.0,13,8,10,1,Toyota
0,1,0,30.0,18.8,51.0,0.0,22.3,300.0,14,8,10,2,Toyota
0,1,0,28.3,17.2,51.0,0.0,18.4,317.40000000000003,14,8,10,0,Toyota
0,1,0,18.9,15.0,78.0,0.0,9.4,400.0,14,8,10,0,Toyota
0,1,0,17.8,12.9,73.0,0.0,0.0,400.5,14,9,9,0,Toyota
0,1,0,22.2,11.0,49.0,0.0,11.2,400.5,13,7,10,0,Toyota
0,1,0,26.1,13.2,45.0,0.0,14.8,505.4,16,8,10,1,Toyota
0,1,0,32.2,16.9,40.0,0.0,20.5,501.0,14,8,10,1,Toyota
0,1,0,22.8,20.0,84.0,0.0,7.6,265.104,14,8,10,1,Toyota
0,1,0,19.4,16.6,84.0,0.0,0.0,500.5,14,8,10,2,Toyota
0,1,0,16.7,13.2,80.0,0.0,5.4,501.0,14,8,11,0,Toyota
0,1,0,26.7,16.0,52.0,0.0,5.4,313.0,14,8,10,1,Toyota
0,1,0,19.4,14.4,73.0,0.0,0.0,400.5,16,8,9,0,Toyota
0,1,0,22.0,18.0,78.0,0.0,0.0,500.5,14,7,10,2,Toyota
0,1,0,10.0,6.0,76.0,0.0,0.0,269.69800000000004,14,7,10,0,Toyota
0,1,0,11.7,9.4,86.0,0.0,0.0,263.0,13,8,11,2,Toyota
0,1,0,22.8,7.7,38.0,0.0,0.0,508.5,15,8,10,2,Toyota
0,1,0,25.3,-11.4,8.0,0.0,0.0,312.0,14,8,10,1,Toyota
