temp,dwpt,rhum,prcp,wspd,top5_count,manufacturer
11.7,-1.8,39.0,0.0,11.2,0,Toyota
18.3,-6.5,18.0,0.0,14.8,0,Toyota
26.0,-12.5,7.0,0.0,22.3,0,Toyota
8.9,-8.2,29.0,0.0,13.0,1,Toyota
20.0,10.1,53.0,0.0,11.2,0,Toyota
17.0,12.9,77.0,0.0,0.0,0,Toyota
11.7,1.6,50.0,0.0,22.3,0,Toyota
23.0,-5.0,15.0,0.0,16.6,0,Toyota
23.9,9.8,41.0,0.0,16.6,0,Toyota
12.2,10.6,90.0,0.0,0.0,0,Toyota
19.0,18.0,94.0,2.3,13.0,0,Toyota
28.0,12.0,37.0,0.0,7.6,0,Toyota
18.3,17.1,93.0,1.5,16.6,0,Toyota
20.0,10.7,55.0,0.0,14.8,0,Toyota
27.2,19.0,61.0,0.0,0.0,0,Toyota
28.9,6.3,24.0,0.0,25.9,0,Toyota
20.0,5.6,39.0,0.0,9.4,0,Toyota
24.0,22.1,89.0,5.8,14.8,0,Toyota
27.8,11.8,37.0,0.0,31.7,0,Toyota
27.8,18.8,58.0,0.0,11.2,0,Toyota
23.9,13.4,52.0,0.0,5.4,0,Toyota
21.7,15.1,66.0,0.0,5.4,0,Toyota
16.7,15.6,93.0,0.3,16.6,0,Toyota
28.9,19.5,57.0,0.0,5.4,1,Toyota
40.0,16.2,25.0,0.0,22.3,0,Toyota
27.8,23.8,79.0,0.0,18.4,0,Toyota
12.8,6.2,64.0,0.0,9.4,0,Toyota
23.0,21.1,89.0,0.0,0.0,0,Toyota
26.1,10.7,38.0,0.0,16.6,0,Toyota
26.1,19.0,65.0,0.0,7.6,0,Toyota
14.0,6.1,59.0,0.0,0.0,0,Toyota
12.0,6.9,71.0,0.0,0.0,0,Toyota
15.0,6.0,55.0,0.0,5.4,0,Toyota
18.3,8.8,54.0,0.0,5.4,0,Toyota
26.1,5.6,27.0,0.0,7.6,0,Toyota
