Season,Site,Toyota,Ford,Chevrolet
2007,Daytona,0,1,4
2007,Fontana,0,1,4
2007,Las Vegas,0,1,4
2007,Atlanta,0,1,3
2007,Bristol,0,1,4
2007,Martinsville,0,0,5
2007,Fort Worth,0,2,3
2007,Phoenix,0,1,4
2007,Talladega,0,2,2
2007,Richmond,0,0,4
2007,Charlotte,1,0,2
2007,Pocono,0,0,4
2007,Michigan,0,1,4
2007,Sonoma,0,1,3
2007,Loudon,0,0,5
2007,Chicago,0,2,3
2007,Indianapolis,0,0,3
2007,Pocono,0,0,4
2007,Watkins Glen,0,1,4
2007,Bristol,0,1,3
2007,Fontana,0,1,4
2007,Richmond,0,1,4
2007,Loudon,0,0,5
2007,Dover,0,2,3
2007,Kansas,0,1,4
2007,Talladega,1,0,3
2007,Charlotte,0,1,4
2007,Martinsville,0,1,3
2007,Atlanta,0,2,2
2007,Fort Worth,0,1,3
2007,Phoenix,0,2,2
2007,Homestead,0,2,2
2008,Daytona,2,0,0
2008,Fontana,1,2,2
2008,Las Vegas,0,2,3
2008,Atlanta,2,1,2
2008,Martinsville,2,0,3
2008,Fort Worth,2,1,1
2008,Phoenix,1,1,3
2008,Talladega,3,1,0
2008,Richmond,2,0,3
2008,Darlington,1,2,2
2008,Charlotte,1,1,2
2008,Dover,1,3,1
2008,Michigan,2,1,1
2008,Sonoma,1,1,3
2008,Daytona,1,3,0
2008,Chicago,2,1,2
2008,Indianapolis,1,1,2
2008,Pocono,1,2,2
2008,Watkins Glen,2,1,1
2008,Michigan,1,4,0
2008,Bristol,2,1,2
2008,Fontana,1,2,2
2008,Richmond,2,0,3
2008,Loudon,0,2,3
2008,Dover,0,3,2
2008,Kansas,0,3,2
2008,Talladega,1,1,3
2008,Charlotte,1,1,1
2008,Martinsville,1,1,3
2008,Atlanta,2,2,1
2008,Fort Worth,0,3,2
2008,Phoenix,1,2,1
2008,Homestead,0,2,3
2009,Daytona,0,1,2
2009,Fontana,1,2,1
2009,Las Vegas,2,1,2
2009,Atlanta,1,1,2
2009,Bristol,2,0,2
2009,Fort Worth,0,2,3
2009,Phoenix,0,1,3
2009,Talladega,2,0,3
2009,Richmond,1,0,4
2009,Darlington,0,0,5
2009,Charlotte,3,1,1
2009,Dover,0,2,2
2009,Pocono,1,1,3
2009,Michigan,1,2,2
2009,Sonoma,2,0,2
2009,Loudon,2,0,2
2009,Daytona,1,1,2
2009,Chicago,1,0,3
2009,Indianapolis,1,1,3
2009,Pocono,1,0,2
2009,Watkins Glen,2,2,1
2009,Michigan,1,1,2
2009,Bristol,3,1,1
2009,Atlanta,1,0,3
2009,Richmond,2,0,2
2009,Loudon,2,0,3
2009,Kansas,1,1,3
2009,Fontana,0,0,5
2009,Charlotte,1,1,2
2009,Martinsville,2,0,3
2009,Talladega,1,2,1
2009,Fort Worth,1,1,2
2009,Phoenix,1,0,4
2009,Homestead,1,0,3
2010,Daytona,1,1,3
2010,Fontana,1,0,4
2010,Las Vegas,0,1,4
2010,Atlanta,0,3,1
2010,Bristol,0,2,2
2010,Phoenix,0,0,5
2010,Richmond,1,1,3
2010,Darlington,1,0,3
2010,Dover,3,1,1
2010,Pocono,2,0,3
2010,Michigan,1,1,2
2010,Sonoma,1,1,3
2010,Loudon,0,0,4
2010,Daytona,0,1,4
2010,Chicago,1,1,3
2010,Indianapolis,0,1,4
2010,Pocono,1,2,2
2010,Watkins Glen,1,2,1
2010,Michigan,1,3,1
2010,Atlanta,1,1,3
2010,Richmond,4,0,1
2010,Loudon,1,0,4
2010,Dover,1,1,2
2010,Kansas,0,1,4
2010,Fontana,0,1,4
2010,Charlotte,2,1,2
2010,Martinsville,2,0,3
2010,Talladega,2,0,3
2010,Fort Worth,2,2,1
2010,Phoenix,1,2,2
2010,Homestead,0,3,2
2011,Daytona,1,3,0
2011,Phoenix,1,0,4
2011,Las Vegas,0,2,3
2011,Fontana,1,1,3
2011,Martinsville,1,0,4
2011,Fort Worth,0,3,2
2011,Talladega,0,0,5
2011,Richmond,3,2,0
2011,Darlington,1,1,2
2011,Dover,2,2,1
2011,Charlotte,1,2,1
2011,Kansas,1,1,2
2011,Pocono,1,0,3
2011,Michigan,2,2,1
2011,Sonoma,0,2,2
2011,Daytona,3,2,0
2011,Kentucky,2,1,2
2011,Loudon,2,0,3
