"season","race","site","track","track_length","track_type","laps","driver_finish_1","driver_finish_2","driver_finish_3","driver_finish_4","driver_finish_5","manufacturer_finish_1","manufacturer_finish_2","manufacturer_finish_3","manufacturer_finish_4","manufacturer_finish_5","avg_pos_swap","Chevrolet_fieldcount","Ford_fieldcount","Oldsmobile_fieldcount","Pontiac_fieldcount","Buick_fieldcount","Dodge_fieldcount","Toyota_fieldcount","total_fieldcount"
1992,1,"Daytona","Daytona International Speedway",2.5,"paved track",200,"Davey Allison","Morgan Shepherd","Geoffrey Bodine","Alan Kulwicki","Dick Trickle","Ford","Ford","Ford","Ford","Oldsmobile",14.7619047619048,14,14,10,4,0,0,0,42
1992,10,"Charlotte","Charlotte Motor Speedway",1.5,"paved track",400,"Dale Earnhardt","Ernie Irvan","Kyle Petty","Davey Allison","Harry Gant","Chevrolet","Chevrolet","Pontiac","Ford","Oldsmobile",10.6190476190476,15,15,5,7,0,0,0,42
1992,11,"Dover","Dover Downs International Speedway",1,"paved track",500,"Harry Gant","Dale Earnhardt","Rusty Wallace","Ernie Irvan","Darrell Waltrip","Oldsmobile","Chevrolet","Pontiac","Chevrolet","Chevrolet",8.75,11,14,6,8,1,0,0,40
1992,12,"Sonoma","Sears Point International Raceway",2.52,"road course",74,"Ernie Irvan","Terry Labonte","Mark Martin","Ricky Rudd","Bill Elliott","Chevrolet","Oldsmobile","Ford","Chevrolet","Ford",7.02325581395349,15,12,6,9,1,0,0,43
1992,13,"Pocono","Pocono International Raceway",2.5,"paved track",200,"Alan Kulwicki","Mark Martin","Bill Elliott","Ken Schrader","Davey Allison","Ford","Ford","Ford","Chevrolet","Ford",8.5,12,15,5,7,1,0,0,40
1992,14,"Michigan","Michigan International Speedway",2,"paved track",200,"Davey Allison","Darrell Waltrip","Alan Kulwicki","Kyle Petty","Ricky Rudd","Ford","Chevrolet","Ford","Pontiac","Chevrolet",10.0975609756098,14,15,4,8,0,0,0,41
1992,15,"Daytona","Daytona International Speedway",2.5,"paved track",160,"Ernie Irvan","Sterling Marlin","Dale Jarrett","Geoffrey Bodine","Bill Elliott","Chevrolet","Ford","Chevrolet","Ford","Ford",7.45,16,15,4,5,0,0,0,40
1992,16,"Pocono","Pocono International Raceway",2.5,"paved track",200,"Darrell Waltrip","Harry Gant","Alan Kulwicki","Ricky Rudd","Ted Musgrave","Chevrolet","Oldsmobile","Ford","Chevrolet","Ford",8.04878048780488,15,15,5,6,0,0,0,41
1992,17,"Talladega","Talladega Superspeedway",2.66,"paved track",188,"Ernie Irvan","Sterling Marlin","Davey Allison","Ricky Rudd","Bill Elliott","Chevrolet","Ford","Ford","Chevrolet","Ford",7.2,15,16,2,7,0,0,0,40
1992,18,"Watkins Glen","Watkins Glen International",2.45,"road course",51,"Kyle Petty","Morgan Shepherd","Ernie Irvan","Mark Martin","Wally Dallenbach, Jr.","Pontiac","Ford","Chevrolet","Ford","Ford",7.69230769230769,13,13,6,6,1,0,0,39
1992,19,"Michigan","Michigan International Speedway",2,"paved track",200,"Harry Gant","Darrell Waltrip","Bill Elliott","Ernie Irvan","Davey Allison","Oldsmobile","Chevrolet","Ford","Chevrolet","Ford",8.68292682926829,17,15,4,5,0,0,0,41
1992,2,"Rockingham","North Carolina Motor Speedway",1.017,"paved track",492,"Bill Elliott","Davey Allison","Harry Gant","Michael Waltrip","Ken Schrader","Ford","Ford","Oldsmobile","Pontiac","Chevrolet",9.8,14,14,5,7,0,0,0,40
1992,20,"Bristol","Bristol International Speedway",0.533,"paved track",500,"Darrell Waltrip","Dale Earnhardt","Ken Schrader","Kyle Petty","Alan Kulwicki","Chevrolet","Chevrolet","Chevrolet","Pontiac","Ford",9.6875,10,13,4,5,0,0,0,32
