temp,dwpt,rhum,prcp,wdir,wspd,pres,coco,date,rain_binary,location
18.3,8.3,52.0,0.0,220.0,9.4,1015.9,No Rain,1992-10-11,False, Charlotte
26.1,6.7,29.0,0.0,220.0,18.7,1011.3,No Rain,1992-11-01,False, Phoenix
10.6,1.7,54.0,0.0,230.0,13.0,1022.2,No Rain,1992-11-15,False, Atlanta
24.4,15.6,58.0,0.0,270.0,18.4,1017.7,No Rain,1992-02-16,False, Daytona
15.0,-2.9,29.0,0.0,320.0,22.3,1013.9,No Rain,1992-03-15,False, Atlanta
13.3,10.7,84.0,0.0,240.0,0.0,1008.5,No Rain,1992-03-08,False, Richmond
13.9,0.2,39.0,0.0,330.0,29.5,1008.5,No Rain,1992-04-26,False, Martinsville
5.6,-1.1,62.0,0.0,320.0,27.7,1009.4,No Rain,1992-04-05,False, Bristol
29.4,5.5,22.0,0.0,90.0,5.4,1013.9,No Rain,1992-05-24,False, Charlotte
26.7,13.4,44.0,0.0,220.0,18.7,1017.3,No Rain,1992-05-03,False, Talladega
16.1,16.1,100.0,1.0,130.0,18.7,1021.7,Light Rain,1992-05-31,True, Dover
25.0,10.5,40.0,0.0,190.0,27.7,1012.1,No Rain,1992-06-14,False, Pocono
11.7,6.2,69.0,0.0,360.0,9.4,1016.2,No Rain,1992-06-21,False, Michigan
18.3,12.3,68.0,0.0,250.0,24.1,1008.3,No Rain,1992-06-07,False, Sonoma
25.6,16.7,58.0,0.0,240.0,13.0,1015.7,No Rain,1992-07-19,False, Pocono
30.0,21.7,61.0,0.0,240.0,16.6,1018.5,No Rain,1992-07-26,False, Talladega
32.7,18.9,44.0,0.0,300.0,9.0,1016.9,No Rain,1992-07-04,False, Daytona
17.8,12.3,70.0,0.0,30.0,14.8,1022.1,No Rain,1992-08-16,False, Michigan
19.4,12.2,63.0,0.0,290.0,20.5,1012.9,No Rain,1992-08-29,False, Bristol
18.9,11.2,61.0,0.0,330.0,7.6,1020.5,No Rain,1992-09-12,False, Richmond
20.0,11.7,59.0,0.0,40.0,7.6,1016.0,No Rain,1992-09-20,False, Dover
20.6,19.9,96.0,0.0,30.0,7.6,1018.7,No Rain,1992-09-28,False, Martinsville
24.4,13.9,52.0,0.0,210.0,13.0,1009.5,No Rain,1993-10-10,False, Charlotte
24.4,-12.0,8.0,0.0,120.0,9.0,1017.7,No Rain,1993-10-31,False, Phoenix
20.0,15.6,76.0,0.0,120.0,13.0,1021.9,No Rain,1993-11-14,False, Atlanta
17.2,8.3,56.0,0.0,280.0,22.0,1015.0,No Rain,1993-02-14,False, Daytona
10.0,-8.7,26.0,0.0,90.0,27.7,1029.8,No Rain,1993-03-20,False, Atlanta
5.0,-4.6,50.0,0.0,300.0,0.0,1014.9,No Rain,1993-03-07,False, Richmond
20.0,4.5,36.0,0.0,200.0,22.3,1019.0,No Rain,1993-04-25,False, Martinsville
10.0,-4.4,36.0,0.0,,0.0,1021.2,No Rain,1993-04-04,False, Bristol
17.8,9.9,60.0,0.0,280.0,38.9,1013.9,No Rain,1993-05-16,False, Sonoma
21.7,14.4,63.0,0.0,130.0,11.2,1014.8,No Rain,1993-05-02,False, Talladega
26.7,17.8,58.0,0.0,310.0,16.6,1015.9,No Rain,1993-05-30,False, Charlotte
22.7,13.2,55.0,0.0,130.0,14.8,1023.0,No Rain,1993-06-13,False, Pocono
