temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco,year,date,location
6.7,-3.3,49.0,0.0,nan,360.0,0.0,nan,1025.9,nan,nan,1973,1973-2-25, Richmond
18.9,16.7,87.0,2.3,nan,200.0,18.7,nan,1007.6,nan,nan,1973,1973-4-1, Atlanta
11.7,-2.9,36.0,0.0,nan,280.0,18.7,nan,1012.6,nan,nan,1973,1973-4-29, Martinsville
21.1,5.0,35.0,0.0,nan,20.0,11.2,nan,1018.1,nan,nan,1973,1973-5-6, Talladega
18.9,9.9,56.0,0.0,nan,120.0,7.6,nan,1013.6,nan,nan,1973,1973-5-12, Nashville Fgds
20.0,18.3,90.0,9.9,nan,350.0,13.0,nan,1009.9,nan,nan,1973,1973-5-27, Charlotte
20.6,12.8,61.0,0.0,nan,180.0,27.7,nan,1018.1,nan,nan,1973,1973-6-3, Dover
27.2,22.2,74.0,0.0,nan,70.0,20.5,nan,1016.7,nan,nan,1973,1973-6-10, Texas World Speedway
21.7,15.1,66.0,0.0,nan,210.0,13.0,nan,1014.3,nan,nan,1973,1973-6-24, Michigan
28.9,19.5,57.0,0.0,nan,220.0,11.2,nan,1013.5,nan,nan,1973,1973-7-22, Atlanta
24.4,20.5,79.0,0.0,nan,150.0,9.4,nan,1016.3,nan,nan,1973,1973-8-12, Talladega
27.2,18.2,58.0,0.0,nan,170.0,9.4,nan,1017.0,nan,nan,1973,1973-8-25, Nashville Fgds
22.8,19.0,79.0,0.0,nan,230.0,0.0,nan,1017.8,nan,nan,1973,1973-9-9, Richmond
22.2,16.7,71.0,0.0,nan,250.0,5.4,nan,1012.9,nan,nan,1973,1973-9-16, Dover
23.9,21.8,88.0,0.0,nan,310.0,5.4,nan,1013.4,nan,nan,1973,1973-9-30, Martinsville
17.8,10.7,63.0,0.0,nan,20.0,14.8,nan,1023.9,nan,nan,1973,1973-10-7, Charlotte
8.9,-4.0,40.0,0.0,nan,350.0,9.4,nan,1020.7,nan,nan,1974,1974-2-24, Richmond
12.8,6.6,66.0,0.0,nan,80.0,13.0,nan,1012.5,nan,nan,1974,1974-3-24, Atlanta
21.1,5.4,36.0,0.0,nan,120.0,7.6,nan,1024.3,nan,nan,1974,1974-4-28, Martinsville
21.7,16.6,73.0,0.0,nan,nan,0.0,nan,1014.0,nan,nan,1974,1974-5-5, Talladega
23.3,16.6,66.0,0.0,nan,60.0,11.2,nan,1010.5,nan,nan,1974,1974-5-11, Nashville Fgds
22.8,15.6,64.0,0.0,nan,240.0,13.0,nan,1016.6,nan,nan,1974,1974-5-19, Dover
24.4,11.7,45.0,0.0,nan,220.0,9.4,nan,1012.7,nan,nan,1974,1974-5-26, Charlotte
21.1,11.7,55.0,0.0,nan,300.0,25.9,nan,1003.8,nan,nan,1974,1974-6-16, Michigan
27.8,22.3,72.0,0.0,nan,220.0,16.6,nan,1016.9,nan,nan,1974,1974-7-20, Nashville Fgds
25.6,21.1,76.0,0.0,nan,120.0,9.4,nan,1014.8,nan,nan,1974,1974-7-28, Atlanta
23.3,20.6,85.0,0.0,nan,250.0,9.4,nan,1018.1,nan,nan,1974,1974-8-4, Pocono
26.7,24.0,85.0,0.0,nan,90.0,9.4,nan,1015.9,nan,nan,1974,1974-8-11, Talladega
21.7,16.0,70.0,0.0,nan,60.0,9.4,nan,1021.0,nan,nan,1974,1974-8-25, Michigan
18.9,17.2,90.0,0.0,nan,320.0,1.8,nan,1021.6,nan,nan,1974,1974-9-8, Richmond
16.1,10.6,70.0,0.0,nan,290.0,9.4,nan,1018.6,nan,nan,1974,1974-9-15, Dover
23.9,21.8,88.0,0.0,nan,90.0,5.4,nan,1013.7,nan,nan,1974,1974-9-29, Martinsville
13.9,5.5,57.0,0.0,nan,360.0,9.4,nan,1030.0,nan,nan,1974,1974-10-6, Charlotte
24.4,-3.1,16.0,0.0,nan,300.0,13.0,nan,1022.4,nan,nan,1974,1974-11-24, Ontario
10.6,3.8,63.0,0.0,nan,190.0,13.0,nan,1023.3,nan,nan,1975,1975-2-23, Richmond
20.6,7.9,44.0,0.0,nan,320.0,11.2,nan,1006.9,nan,nan,1975,1975-3-23, Atlanta
