temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco,year,date,location,associated_race
17.2,11.7,70.0,0.0,,30.0,7.6,,1023.6,,No Rain,1992,1992-10-08 00:00:00, Charlotte, Charlotte_1992-10-11 00:00:00
18.3,17.1,93.0,7.6,,120.0,16.6,,1019.0,,Heavy Rain,1992,1992-10-09 00:00:00, Charlotte, Charlotte_1992-10-11 00:00:00
20.6,13.3,63.0,0.0,,220.0,13.0,,1014.5,,No Rain,1992,1992-10-10 00:00:00, Charlotte, Charlotte_1992-10-11 00:00:00
18.3,8.3,52.0,0.0,,220.0,9.4,,1015.9,,No Rain,1992,1992-10-11 00:00:00, Charlotte, Charlotte_1992-10-11 00:00:00
15.6,2.0,40.0,0.0,,340.0,16.6,,1013.5,,No Rain,1992,1992-10-12 00:00:00, Charlotte, Charlotte_1992-10-11 00:00:00
15.0,7.3,60.0,0.0,,190.0,13.0,,1013.8,,No Rain,1992,1992-10-13 00:00:00, Charlotte, Charlotte_1992-10-11 00:00:00
18.3,11.6,65.0,0.0,,190.0,9.4,,1017.1,,No Rain,1992,1992-10-14 00:00:00, Charlotte, Charlotte_1992-10-11 00:00:00
26.6,12.3,41.0,0.0,,240.0,5.4,,1006.3,,No Rain,1992,1992-10-29 00:00:00, Phoenix, Phoenix_1992-11-01 00:00:00
23.8,7.8,36.0,0.0,,210.0,14.8,,1008.1,,No Rain,1992,1992-10-30 00:00:00, Phoenix, Phoenix_1992-11-01 00:00:00
25.0,11.6,43.0,0.0,,230.0,3.6,,1008.5,,No Rain,1992,1992-10-31 00:00:00, Phoenix, Phoenix_1992-11-01 00:00:00
26.1,6.7,29.0,0.0,,220.0,18.7,,1011.3,,No Rain,1992,1992-11-01 00:00:00, Phoenix, Phoenix_1992-11-01 00:00:00
25.0,-1.8,17.0,0.0,,170.0,10.8,,1014.6,,No Rain,1992,1992-11-02 00:00:00, Phoenix, Phoenix_1992-11-01 00:00:00
26.1,2.7,22.0,0.0,,190.0,18.4,,1008.0,,No Rain,1992,1992-11-03 00:00:00, Phoenix, Phoenix_1992-11-01 00:00:00
21.6,-14.1,8.0,0.0,,10.0,36.7,,1015.0,,No Rain,1992,1992-11-04 00:00:00, Phoenix, Phoenix_1992-11-01 00:00:00
13.9,12.1,89.0,0.0,,100.0,14.8,,1022.4,,No Rain,1992,1992-11-12 00:00:00, Atlanta, Atlanta_1992-11-15 00:00:00
16.1,16.1,100.0,0.0,,250.0,16.6,,1007.7,,No Rain,1992,1992-11-13 00:00:00, Atlanta, Atlanta_1992-11-15 00:00:00
7.8,-2.3,49.0,0.0,,280.0,11.2,,1021.2,,No Rain,1992,1992-11-14 00:00:00, Atlanta, Atlanta_1992-11-15 00:00:00
10.6,1.7,54.0,0.0,,230.0,13.0,,1022.2,,No Rain,1992,1992-11-15 00:00:00, Atlanta, Atlanta_1992-11-15 00:00:00
7.2,-0.1,60.0,0.0,,320.0,16.6,,1026.3,,No Rain,1992,1992-11-16 00:00:00, Atlanta, Atlanta_1992-11-15 00:00:00
8.3,1.7,63.0,0.0,,120.0,14.8,,1028.1,,No Rain,1992,1992-11-17 00:00:00, Atlanta, Atlanta_1992-11-15 00:00:00
12.8,4.5,57.0,0.0,,90.0,7.6,,1023.9,,No Rain,1992,1992-11-18 00:00:00, Atlanta, Atlanta_1992-11-15 00:00:00
4.4,-9.4,36.0,0.0,,340.0,16.6,,1013.5,,No Rain,1992,1992-03-12 00:00:00, Atlanta, Atlanta_1992-03-15 00:00:00
11.7,-3.3,35.0,0.0,,240.0,16.6,,1010.4,,No Rain,1992,1992-03-13 00:00:00, Atlanta, Atlanta_1992-03-15 00:00:00
6.7,-7.3,36.0,0.0,,310.0,14.8,,1016.9,,No Rain,1992,1992-03-14 00:00:00, Atlanta, Atlanta_1992-03-15 00:00:00
15.0,-2.9,29.0,0.0,,320.0,22.3,,1013.9,,No Rain,1992,1992-03-15 00:00:00, Atlanta, Atlanta_1992-03-15 00:00:00
10.0,-6.0,32.0,0.0,,330.0,33.5,,1017.7,,No Rain,1992,1992-03-16 00:00:00, Atlanta, Atlanta_1992-03-15 00:00:00
12.8,-11.7,17.0,0.0,,190.0,11.2,,1022.9,,No Rain,1992,1992-03-17 00:00:00, Atlanta, Atlanta_1992-03-15 00:00:00
19.4,-0.1,27.0,0.0,,190.0,13.0,,1018.4,,No Rain,1992,1992-03-18 00:00:00, Atlanta, Atlanta_1992-03-15 00:00:00
7.2,2.9,74.0,0.0,,120.0,5.4,,1026.9,,No Rain,1992,1992-03-05 00:00:00, Richmond, Richmond_1992-03-08 00:00:00
9.4,6.1,80.0,0.0,,170.0,0.0,,1023.9,,No Rain,1992,1992-03-06 00:00:00, Richmond, Richmond_1992-03-08 00:00:00
8.3,7.2,93.0,0.0,,70.0,16.6,,1023.6,,No Rain,1992,1992-03-07 00:00:00, Richmond, Richmond_1992-03-08 00:00:00
13.3,10.7,84.0,0.0,,240.0,0.0,,1008.5,,No Rain,1992,1992-03-08 00:00:00, Richmond, Richmond_1992-03-08 00:00:00
15.6,7.9,60.0,0.0,,340.0,11.2,,1013.5,,No Rain,1992,1992-03-09 00:00:00, Richmond, Richmond_1992-03-08 00:00:00
13.9,6.0,59.0,0.0,,150.0,13.0,,1015.4,,No Rain,1992,1992-03-10 00:00:00, Richmond, Richmond_1992-03-08 00:00:00
12.8,10.5,86.0,0.0,,160.0,7.6,,998.3,,No Rain,1992,1992-03-11 00:00:00, Richmond, Richmond_1992-03-08 00:00:00
20.6,8.3,45.0,0.0,,220.0,13.0,,1018.0,,No Rain,1992,1992-04-23 00:00:00, Martinsville, Martinsville_1992-04-26 00:00:00
22.2,6.8,37.0,0.0,,160.0,13.0,,1019.4,,No Rain,1992,1992-04-24 00:00:00, Martinsville, Martinsville_1992-04-26 00:00:00
24.4,12.4,47.0,0.3,,250.0,18.7,,1007.2,,Light Rain,1992,1992-04-25 00:00:00, Martinsville, Martinsville_1992-04-26 00:00:00
13.9,0.2,39.0,0.0,,330.0,29.5,,1008.5,,No Rain,1992,1992-04-26 00:00:00, Martinsville, Martinsville_1992-04-26 00:00:00
10.6,1.1,52.0,0.0,,10.0,14.8,,1013.1,,No Rain,1992,1992-04-27 00:00:00, Martinsville, Martinsville_1992-04-26 00:00:00
11.7,2.7,54.0,0.0,,300.0,16.6,,1015.0,,No Rain,1992,1992-04-28 00:00:00, Martinsville, Martinsville_1992-04-26 00:00:00
10.0,3.9,66.0,0.0,,10.0,14.8,,1017.0,,No Rain,1992,1992-04-29 00:00:00, Martinsville, Martinsville_1992-04-26 00:00:00
3.9,-1.1,70.0,0.0,,290.0,14.8,,1011.7,,No Rain,1992,1992-04-02 00:00:00, Bristol, Bristol_1992-04-05 00:00:00
1.7,-6.1,56.0,0.0,,320.0,20.5,,1014.1,,No Rain,1992,1992-04-03 00:00:00, Bristol, Bristol_1992-04-05 00:00:00
5.0,-7.2,41.0,0.0,,220.0,11.2,,1008.8,,No Rain,1992,1992-04-04 00:00:00, Bristol, Bristol_1992-04-05 00:00:00
5.6,-1.1,62.0,0.0,,320.0,27.7,,1009.4,,No Rain,1992,1992-04-05 00:00:00, Bristol, Bristol_1992-04-05 00:00:00
9.4,-6.1,33.0,0.0,,80.0,5.4,,1021.9,,No Rain,1992,1992-04-06 00:00:00, Bristol, Bristol_1992-04-05 00:00:00
13.9,-0.9,36.0,0.0,,240.0,5.4,,1020.0,,No Rain,1992,1992-04-07 00:00:00, Bristol, Bristol_1992-04-05 00:00:00
10.6,8.9,89.0,0.0,,250.0,5.4,,1016.6,,No Rain,1992,1992-04-08 00:00:00, Bristol, Bristol_1992-04-05 00:00:00
21.7,3.8,31.0,0.0,,50.0,13.0,,1025.6,,No Rain,1992,1992-05-21 00:00:00, Charlotte, Charlotte_1992-05-24 00:00:00
23.9,2.7,25.0,0.0,,80.0,11.2,,1025.5,,No Rain,1992,1992-05-22 00:00:00, Charlotte, Charlotte_1992-05-24 00:00:00
26.1,3.3,23.0,0.0,,10.0,7.6,,1021.3,,No Rain,1992,1992-05-23 00:00:00, Charlotte, Charlotte_1992-05-24 00:00:00
29.4,5.5,22.0,0.0,,90.0,5.4,,1013.9,,No Rain,1992,1992-05-24 00:00:00, Charlotte, Charlotte_1992-05-24 00:00:00
28.9,11.9,35.0,0.0,,330.0,13.0,,1008.7,,No Rain,1992,1992-05-25 00:00:00, Charlotte, Charlotte_1992-05-24 00:00:00
