temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco,year,date,location
16.1,5.1,48.0,nan,nan,310.0,14.8,nan,1015.4,nan,nan,1972,1972-1-23, Riverside
31.1,3.2,17.0,nan,nan,80.0,9.4,nan,1011.4,nan,nan,1972,1972-3-5, Ontario
27.2,14.9,47.0,nan,nan,300.0,24.1,nan,1007.3,nan,nan,1972,1972-6-18, Riverside
29.4,22.1,65.0,nan,nan,200.0,9.4,nan,1014.7,nan,nan,1972,1972-7-16, Trenton
11.1,-2.7,38.0,nan,nan,280.0,10.8,nan,1017.8,nan,nan,1973,1973-1-21, Riverside
6.7,-3.3,49.0,0.0,nan,360.0,0.0,nan,1025.9,nan,nan,1973,1973-2-25, Richmond
13.8,1.1,42.0,nan,nan,110.0,9.0,nan,1027.1,nan,nan,1973,1973-4-15, Darlington
21.6,7.8,41.0,nan,nan,360.0,9.0,nan,1017.4,nan,nan,1973,1973-5-6, Talladega
18.9,9.9,56.0,0.0,nan,120.0,7.6,nan,1013.6,nan,nan,1973,1973-5-12, Nashville Fgds
20.0,18.3,90.0,9.9,nan,350.0,13.0,nan,1009.9,nan,nan,1973,1973-5-27, Charlotte
23.8,11.5,46.0,nan,nan,330.0,22.0,nan,1012.3,nan,nan,1973,1973-6-17, Riverside
21.6,12.2,55.0,nan,nan,230.0,16.6,nan,1013.5,nan,nan,1973,1973-6-24, Michigan
26.1,22.8,82.0,nan,nan,80.0,9.0,nan,1015.6,nan,nan,1973,1973-8-12, Talladega
27.2,18.2,58.0,0.0,nan,170.0,9.4,nan,1017.0,nan,nan,1973,1973-8-25, Nashville Fgds
30.5,22.7,63.0,nan,nan,50.0,7.2,nan,1020.4,nan,nan,1973,1973-9-3, Darlington
22.8,19.0,79.0,0.0,nan,230.0,0.0,nan,1017.8,nan,nan,1973,1973-9-9, Richmond
17.8,10.7,63.0,0.0,nan,20.0,14.8,nan,1023.9,nan,nan,1973,1973-10-7, Charlotte
16.6,1.5,36.0,nan,nan,310.0,10.8,nan,1016.5,nan,nan,1974,1974-1-26, Riverside
8.9,-4.0,40.0,0.0,nan,350.0,9.4,nan,1020.7,nan,nan,1974,1974-2-24, Richmond
13.3,-2.6,33.0,nan,nan,320.0,16.6,nan,1019.3,nan,nan,1974,1974-4-7, Darlington
20.6,18.9,90.0,nan,nan,270.0,14.8,nan,1012.8,nan,nan,1974,1974-5-5, Talladega
23.3,16.6,66.0,0.0,nan,60.0,11.2,nan,1010.5,nan,nan,1974,1974-5-11, Nashville Fgds
24.4,11.7,45.0,0.0,nan,220.0,9.4,nan,1012.7,nan,nan,1974,1974-5-26, Charlotte
27.2,11.2,37.0,nan,nan,290.0,22.0,nan,1007.9,nan,nan,1974,1974-6-9, Riverside
18.9,7.6,48.0,nan,nan,310.0,33.1,nan,1005.0,nan,nan,1974,1974-6-16, Michigan
27.8,22.3,72.0,0.0,nan,220.0,16.6,nan,1016.9,nan,nan,1974,1974-7-20, Nashville Fgds
26.1,22.8,82.0,nan,nan,80.0,5.4,nan,1015.6,nan,nan,1974,1974-8-11, Talladega
21.1,12.8,59.0,nan,nan,10.0,10.8,nan,1020.9,nan,nan,1974,1974-8-25, Michigan
26.7,24.4,87.0,nan,nan,200.0,16.6,nan,1014.3,nan,nan,1974,1974-9-2, Darlington
18.9,17.2,90.0,0.0,nan,320.0,1.8,nan,1021.6,nan,nan,1974,1974-9-8, Richmond
13.9,5.5,57.0,0.0,nan,360.0,9.4,nan,1030.0,nan,nan,1974,1974-10-6, Charlotte
22.8,-5.2,15.0,nan,nan,350.0,10.8,nan,1023.5,nan,nan,1974,1974-11-24, Ontario
23.9,-1.9,18.0,nan,nan,320.0,10.8,nan,1015.7,nan,nan,1975,1975-1-19, Riverside
10.6,3.8,63.0,0.0,nan,190.0,13.0,nan,1023.3,nan,nan,1975,1975-2-23, Richmond
15.6,1.7,39.0,nan,nan,360.0,9.0,nan,1016.9,nan,nan,1975,1975-4-13, Darlington
21.1,16.7,76.0,nan,nan,230.0,9.0,nan,1010.3,nan,nan,1975,1975-5-4, Talladega
23.3,15.6,62.0,0.0,nan,10.0,13.0,nan,1016.5,nan,nan,1975,1975-5-10, Nashville Fgds
29.4,21.6,63.0,0.0,nan,220.0,11.2,nan,1013.6,nan,nan,1975,1975-5-25, Charlotte
25.0,12.2,45.0,nan,nan,320.0,18.4,nan,1012.8,nan,nan,1975,1975-6-8, Riverside
23.3,18.4,74.0,nan,nan,150.0,7.2,nan,1006.7,nan,nan,1975,1975-6-15, Michigan
21.7,21.7,100.0,1.3,nan,140.0,11.2,nan,1016.0,nan,nan,1975,1975-7-20, Nashville Fgds
30.6,24.0,68.0,nan,nan,280.0,9.0,nan,1016.6,nan,nan,1975,1975-8-17, Talladega
28.3,24.3,79.0,nan,nan,240.0,13.0,nan,1015.3,nan,nan,1975,1975-8-24, Michigan
25.0,23.2,90.0,nan,nan,330.0,18.4,nan,1014.4,nan,nan,1975,1975-9-1, Darlington
15.6,8.3,62.0,0.0,nan,40.0,13.0,nan,1027.6,nan,nan,1975,1975-10-5, Charlotte
19.4,17.7,90.0,0.0,nan,190.0,0.0,nan,1013.8,nan,nan,1975,1975-10-12, Richmond
21.7,-9.0,12.0,nan,nan,310.0,14.8,nan,1021.6,nan,nan,1975,1975-11-23, Ontario
28.3,0.1,16.0,nan,nan,60.0,7.2,nan,1014.6,nan,nan,1976,1976-1-18, Riverside
6.1,2.2,76.0,0.0,nan,300.0,0.0,nan,1018.5,nan,nan,1976,1976-3-7, Richmond
18.3,-2.1,25.0,nan,nan,230.0,7.2,nan,1021.3,nan,nan,1976,1976-4-11, Darlington
17.8,13.9,78.0,nan,nan,270.0,18.4,nan,1011.3,nan,nan,1976,1976-5-2, Talladega
12.8,8.9,77.0,0.0,nan,50.0,11.2,nan,1022.5,nan,nan,1976,1976-5-8, Nashville Fgds
20.0,16.6,81.0,0.0,nan,300.0,5.4,nan,1009.4,nan,nan,1976,1976-5-30, Charlotte
26.7,10.4,36.0,nan,nan,320.0,18.4,nan,1009.0,nan,nan,1976,1976-6-13, Riverside
21.7,11.7,53.0,nan,nan,330.0,18.4,nan,1014.4,nan,nan,1976,1976-6-20, Michigan
25.6,21.1,76.0,0.0,nan,290.0,16.6,nan,1014.5,nan,nan,1976,1976-7-17, Nashville Fgds
27.2,22.2,74.0,nan,nan,230.0,10.8,nan,1013.0,nan,nan,1976,1976-8-8, Talladega
27.8,14.1,43.0,nan,nan,150.0,9.0,nan,1018.9,nan,nan,1976,1976-8-22, Michigan
24.4,21.1,82.0,nan,nan,250.0,9.0,nan,1012.5,nan,nan,1976,1976-9-6, Darlington
22.8,8.1,39.0,0.0,nan,260.0,10.8,nan,1014.9,nan,nan,1976,1976-9-12, Richmond
12.2,3.4,55.0,0.0,nan,340.0,16.6,nan,1011.8,nan,nan,1976,1976-10-10, Charlotte
22.8,6.5,35.0,nan,nan,310.0,0.0,nan,1015.2,nan,nan,1976,1976-11-21, Ontario
16.1,-0.6,32.0,nan,nan,320.0,13.0,nan,1019.1,nan,nan,1977,1977-1-16, Riverside
15.0,2.2,42.0,0.0,nan,100.0,5.4,nan,1014.6,nan,nan,1977,1977-2-27, Richmond
23.9,17.2,66.0,nan,nan,220.0,18.4,nan,1014.4,nan,nan,1977,1977-4-3, Darlington
20.6,18.9,90.0,nan,nan,90.0,18.4,nan,1020.9,nan,nan,1977,1977-5-1, Talladega
26.1,18.3,62.0,0.0,nan,210.0,14.8,nan,1012.8,nan,nan,1977,1977-5-7, Nashville Fgds
23.9,17.2,66.0,0.0,nan,170.0,5.4,nan,1007.9,nan,nan,1977,1977-5-29, Charlotte
23.3,11.0,46.0,nan,nan,350.0,18.4,nan,1014.8,nan,nan,1977,1977-6-12, Riverside
24.4,11.0,43.0,nan,nan,300.0,23.8,nan,1007.8,nan,nan,1977,1977-6-19, Michigan
33.9,21.0,47.0,0.0,nan,40.0,14.8,nan,1017.4,nan,nan,1977,1977-7-16, Nashville Fgds
32.2,23.2,59.0,nan,nan,190.0,14.8,nan,1019.9,nan,nan,1977,1977-8-7, Talladega
17.8,17.2,96.0,nan,nan,290.0,9.0,nan,1007.9,nan,nan,1977,1977-8-22, Michigan
23.9,20.6,82.0,nan,nan,130.0,7.2,nan,1016.4,nan,nan,1977,1977-9-5, Darlington
26.7,12.7,42.0,0.0,nan,290.0,16.6,nan,1011.5,nan,nan,1977,1977-9-11, Richmond
17.8,16.1,90.0,0.5,nan,130.0,9.4,nan,1015.6,nan,nan,1977,1977-10-9, Charlotte
15.0,-1.6,32.0,nan,nan,250.0,14.8,nan,1010.2,nan,nan,1977,1977-11-20, Ontario
17.2,1.2,34.0,nan,nan,330.0,7.2,nan,1018.4,nan,nan,1978,1978-1-22, Riverside
8.3,-6.7,34.0,0.0,nan,310.0,25.9,nan,1011.2,nan,nan,1978,1978-2-26, Richmond
25.0,4.2,26.0,nan,nan,nan,0.0,nan,1015.2,nan,nan,1978,1978-4-9, Darlington
20.0,10.1,53.0,nan,nan,270.0,22.0,nan,1010.6,nan,nan,1978,1978-5-14, Talladega
26.7,13.4,44.0,0.0,nan,70.0,14.8,nan,1017.4,nan,nan,1978,1978-5-28, Charlotte
22.8,20.0,84.0,0.0,nan,360.0,7.6,nan,1014.6,nan,nan,1978,1978-6-3, Nashville Fgds
26.5,13.6,45.0,nan,nan,320.0,18.4,nan,1011.3,nan,nan,1978,1978-6-11, Riverside
28.3,22.8,72.0,nan,nan,130.0,18.4,nan,1014.7,nan,nan,1978,1978-6-18, Michigan
29.4,20.6,59.0,0.0,nan,290.0,9.4,nan,1014.8,nan,nan,1978,1978-7-15, Nashville Fgds
25.6,22.9,85.0,nan,nan,90.0,10.8,nan,1018.8,nan,nan,1978,1978-8-6, Talladega
22.2,12.7,55.0,nan,nan,330.0,25.9,nan,1018.6,nan,nan,1978,1978-8-20, Michigan
23.3,21.0,87.0,nan,nan,nan,0.0,nan,1013.2,nan,nan,1978,1978-9-4, Darlington
25.0,16.2,58.0,0.0,nan,80.0,16.6,nan,1017.9,nan,nan,1978,1978-9-10, Richmond
14.4,3.8,49.0,0.0,nan,10.0,13.0,nan,1017.5,nan,nan,1978,1978-10-8, Charlotte
20.6,1.9,29.0,nan,nan,240.0,7.2,nan,1017.4,nan,nan,1978,1978-11-19, Ontario
15.6,0.2,35.0,nan,nan,60.0,10.8,nan,1018.6,nan,nan,1979,1979-1-14, Riverside
13.9,9.3,74.0,0.0,nan,20.0,10.8,nan,1010.8,nan,nan,1979,1979-3-11, Richmond
15.0,1.8,41.0,nan,nan,180.0,7.2,nan,1021.3,nan,nan,1979,1979-4-8, Darlington
21.1,18.3,84.0,nan,nan,230.0,9.0,nan,1011.7,nan,nan,1979,1979-5-6, Talladega
26.1,17.2,58.0,0.0,nan,360.0,14.8,nan,1013.5,nan,nan,1979,1979-5-12, Nashville Fgds
17.8,6.6,48.0,0.0,nan,240.0,16.6,nan,1012.0,nan,nan,1979,1979-5-27, Charlotte
34.4,-1.6,10.0,nan,nan,110.0,9.0,nan,1014.2,nan,nan,1979,1979-6-10, Riverside
28.9,11.0,33.0,nan,nan,190.0,25.9,nan,1012.9,nan,nan,1979,1979-6-17, Michigan
29.4,22.1,65.0,0.0,nan,250.0,11.2,nan,1013.4,nan,nan,1979,1979-7-14, Nashville Fgds
30.0,22.2,63.0,nan,nan,300.0,7.2,nan,1018.5,nan,nan,1979,1979-8-5, Talladega
22.2,19.9,87.0,nan,nan,290.0,10.8,nan,1014.5,nan,nan,1979,1979-8-19, Michigan
24.4,22.3,88.0,nan,nan,nan,0.0,nan,1015.4,nan,nan,1979,1979-9-3, Darlington
21.7,13.9,61.0,0.0,nan,360.0,22.0,nan,1018.3,nan,nan,1979,1979-9-9, Richmond
16.7,7.9,56.0,0.0,nan,220.0,13.0,nan,1009.4,nan,nan,1979,1979-10-7, Charlotte
16.1,10.6,70.0,nan,nan,300.0,7.2,nan,1012.5,nan,nan,1979,1979-11-18, Ontario
15.6,14.5,93.0,nan,nan,60.0,7.2,nan,1018.0,nan,nan,1980,1980-1-13, Riverside
10.0,6.7,80.0,0.0,nan,30.0,9.0,nan,1013.2,nan,nan,1980,1980-2-24, Richmond
21.7,14.4,63.0,nan,nan,240.0,18.4,nan,1014.2,nan,nan,1980,1980-4-13, Darlington
20.0,15.0,73.0,nan,nan,230.0,9.0,nan,1012.4,nan,nan,1980,1980-5-4, Talladega
17.8,-1.0,28.0,0.0,nan,60.0,11.2,nan,1014.0,nan,nan,1980,1980-5-10, Nashville Fgds
23.3,17.7,71.0,0.0,nan,350.0,9.4,nan,1006.2,nan,nan,1980,1980-5-25, Charlotte
28.3,3.9,21.0,nan,nan,330.0,13.0,nan,1015.6,nan,nan,1980,1980-6-8, Riverside
24.4,18.8,71.0,nan,nan,160.0,7.2,nan,1010.7,nan,nan,1980,1980-6-15, Michigan
32.2,24.0,62.0,0.0,nan,300.0,18.7,nan,1012.6,nan,nan,1980,1980-7-12, Nashville Fgds
33.3,18.3,41.0,nan,nan,230.0,13.0,nan,1012.2,nan,nan,1980,1980-8-3, Talladega
20.0,14.4,70.0,nan,nan,130.0,10.8,nan,1021.0,nan,nan,1980,1980-8-17, Michigan
29.4,19.4,55.0,nan,nan,180.0,5.4,nan,1018.6,nan,nan,1980,1980-9-1, Darlington
30.0,22.2,63.0,0.0,nan,140.0,14.8,nan,1015.2,nan,nan,1980,1980-9-7, Richmond
16.7,7.1,53.0,0.0,nan,310.0,5.4,nan,1014.1,nan,nan,1980,1980-10-5, Charlotte
21.7,-7.9,13.0,nan,nan,270.0,9.0,nan,1016.3,nan,nan,1980,1980-11-15, Ontario
23.9,0.2,21.0,nan,nan,80.0,23.8,nan,1015.3,nan,nan,1981,1981-1-11, Riverside
14.4,11.7,84.0,0.0,nan,350.0,25.9,nan,1010.8,nan,nan,1981,1981-2-22, Richmond
25.0,12.2,45.0,nan,nan,210.0,9.0,nan,1021.4,nan,nan,1981,1981-4-12, Darlington
21.7,3.8,31.0,nan,nan,350.0,9.0,nan,1014.6,nan,nan,1981,1981-5-3, Talladega
20.6,8.9,47.0,0.0,nan,180.0,11.2,nan,1014.3,nan,nan,1981,1981-5-9, Nashville Fgds
26.1,11.1,39.0,0.0,nan,230.0,9.4,nan,1015.8,nan,nan,1981,1981-5-24, Charlotte
30.0,11.0,31.0,nan,nan,310.0,16.6,nan,1007.7,nan,nan,1981,1981-6-14, Riverside
22.8,18.3,76.0,nan,nan,150.0,14.8,nan,1011.0,nan,nan,1981,1981-6-21, Michigan
24.4,21.1,82.0,0.0,nan,130.0,5.4,nan,1017.3,nan,nan,1981,1981-7-11, Nashville Fgds
23.9,19.4,76.0,nan,nan,80.0,13.0,nan,1020.5,nan,nan,1981,1981-8-2, Talladega
24.4,18.3,69.0,nan,nan,310.0,14.8,nan,1010.8,nan,nan,1981,1981-8-16, Michigan
25.6,21.7,79.0,nan,nan,60.0,9.0,nan,1016.6,nan,nan,1981,1981-9-7, Darlington
28.9,20.1,59.0,0.0,nan,240.0,10.8,nan,1013.9,nan,nan,1981,1981-9-13, Richmond
13.3,7.3,67.0,0.0,nan,100.0,7.6,nan,1020.7,nan,nan,1981,1981-10-11, Charlotte
21.1,1.9,28.0,nan,nan,310.0,13.0,nan,1018.3,nan,nan,1981,1981-11-22, Riverside
7.2,2.9,74.0,0.0,nan,180.0,9.0,nan,1005.4,nan,nan,1982,1982-2-21, Richmond
23.9,6.6,33.0,nan,nan,210.0,27.7,nan,1003.4,nan,nan,1982,1982-4-4, Darlington
22.8,9.6,43.0,nan,nan,nan,0.0,nan,1020.5,nan,nan,1982,1982-5-2, Talladega
15.6,15.6,100.0,0.8,nan,130.0,16.6,nan,1011.4,nan,nan,1982,1982-5-8, Nashville Fgds
28.3,22.3,70.0,0.0,nan,190.0,11.2,nan,1011.0,nan,nan,1982,1982-5-30, Charlotte
22.8,15.6,64.0,nan,nan,310.0,22.0,nan,1011.3,nan,nan,1982,1982-6-13, Riverside
17.8,8.4,54.0,nan,nan,290.0,27.7,nan,1011.7,nan,nan,1982,1982-6-20, Michigan
24.4,22.3,88.0,0.0,nan,170.0,7.6,nan,1014.9,nan,nan,1982,1982-7-10, Nashville Fgds
19.4,8.4,49.0,nan,nan,350.0,9.0,nan,1021.1,nan,nan,1982,1982-8-22, Michigan
22.8,14.9,61.0,nan,nan,360.0,9.0,nan,1020.0,nan,nan,1982,1982-9-6, Darlington
25.6,17.8,62.0,0.0,nan,140.0,7.2,nan,1020.0,nan,nan,1982,1982-9-12, Richmond
23.3,21.0,87.0,0.0,nan,130.0,9.4,nan,1012.4,nan,nan,1982,1982-10-10, Charlotte
15.0,3.8,47.0,nan,nan,340.0,5.4,nan,1016.7,nan,nan,1982,1982-11-21, Riverside
